epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.83741,1.38341,4.38624,1.79749,0.03388,0.83364,0.12661,0.0599,1.49479,3.48603,1.979,0.000109832,0.000109832,0.000109832
2,11.1514,1.09834,3.75111,1.54779,0.28607,0.39439,0.24929,0.13922,1.59987,2.73306,2.05417,0.000216459,0.000216459,0.000216459
3,16.3704,1.11429,3.31036,1.54652,0.27178,0.48685,0.31666,0.16297,1.67117,2.45635,2.23787,0.000318691,0.000318691,0.000318691
4,21.5256,1.11322,3.10013,1.52441,0.44664,0.39041,0.44305,0.27581,1.43273,2.12922,1.86981,0.00031322,0.00031322,0.00031322
5,26.6886,1.0734,2.86116,1.47127,0.41698,0.49371,0.51725,0.30259,1.56104,1.839,1.97517,0.000306626,0.000306626,0.000306626
6,31.8974,1.05485,2.63618,1.44807,0.45012,0.66563,0.65875,0.3864,1.61712,1.67731,2.06532,0.000300033,0.000300033,0.000300033
7,37.05,1.04494,2.54267,1.44309,0.40086,0.69507,0.61783,0.36024,1.62954,1.68206,2.12153,0.00029344,0.00029344,0.00029344
8,42.2085,1.0214,2.36687,1.41275,0.55844,0.72152,0.70935,0.37314,1.76891,1.63411,2.30948,0.000286846,0.000286846,0.000286846
9,47.3957,0.99723,2.24416,1.39217,0.54356,0.72879,0.74639,0.40552,1.79265,1.5608,2.38454,0.000280253,0.000280253,0.000280253
10,52.6536,0.95111,2.12515,1.37541,0.64445,0.73841,0.77815,0.44592,1.62515,1.35619,2.11639,0.000273659,0.000273659,0.000273659
11,57.9051,0.93868,2.04549,1.35369,0.73539,0.73992,0.82971,0.51118,1.48254,1.29912,1.93613,0.000267066,0.000267066,0.000267066
12,63.1478,0.93788,1.98093,1.34785,0.70392,0.76471,0.82998,0.50831,1.53152,1.27214,1.98723,0.000260473,0.000260473,0.000260473
13,68.4068,0.92481,1.89457,1.34612,0.62979,0.82668,0.8542,0.58268,1.25005,1.12084,1.65716,0.000253879,0.000253879,0.000253879
14,73.5366,0.91222,1.8211,1.33033,0.80002,0.75846,0.84969,0.60561,1.21257,1.0674,1.60622,0.000247286,0.000247286,0.000247286
15,78.6453,0.9062,1.7664,1.32766,0.72091,0.77172,0.85643,0.61035,1.22459,1.06807,1.64242,0.000240692,0.000240692,0.000240692
16,83.7097,0.90628,1.7183,1.32682,0.77688,0.79503,0.87756,0.48978,1.72663,1.11923,2.25987,0.000234099,0.000234099,0.000234099
17,88.9315,0.88516,1.66634,1.31003,0.78616,0.85351,0.90335,0.57112,1.48705,0.97801,1.9548,0.000227506,0.000227506,0.000227506
18,94.1272,0.87891,1.61891,1.2924,0.75052,0.82411,0.88942,0.63471,1.22607,0.98384,1.63153,0.000220912,0.000220912,0.000220912
19,99.2406,0.85427,1.57302,1.29194,0.81453,0.85274,0.91481,0.57882,1.4879,0.9339,1.95827,0.000214319,0.000214319,0.000214319
20,104.359,0.85515,1.53849,1.27497,0.8919,0.86306,0.92905,0.68327,1.14071,0.80719,1.58508,0.000207725,0.000207725,0.000207725
21,109.505,0.86011,1.51053,1.28718,0.78416,0.88234,0.9347,0.68443,1.15807,0.80639,1.58102,0.000201132,0.000201132,0.000201132
22,114.682,0.83998,1.41928,1.27768,0.8658,0.87463,0.95328,0.61216,1.45983,0.86742,1.90256,0.000194539,0.000194539,0.000194539
23,119.923,0.85729,1.41639,1.27209,0.81833,0.8919,0.95638,0.60733,1.48444,0.84819,1.92021,0.000187945,0.000187945,0.000187945
24,125.183,0.8378,1.38729,1.27244,0.82842,0.91222,0.96442,0.55364,1.68025,0.85968,2.23012,0.000181352,0.000181352,0.000181352
25,130.35,0.82796,1.36328,1.25913,0.88173,0.90235,0.95987,0.65715,1.35069,0.74968,1.76971,0.000174758,0.000174758,0.000174758
26,135.469,0.8154,1.32368,1.24909,0.91507,0.85023,0.94663,0.6927,1.16807,0.74923,1.56935,0.000168165,0.000168165,0.000168165
27,140.68,0.83035,1.31004,1.25572,0.87484,0.85896,0.9408,0.63219,1.37095,0.80313,1.78405,0.000161572,0.000161572,0.000161572
28,145.862,0.82392,1.30037,1.25549,0.91227,0.87905,0.95377,0.69954,1.15787,0.74371,1.54206,0.000154978,0.000154978,0.000154978
29,151.074,0.79107,1.25385,1.22707,0.89813,0.8995,0.97044,0.69049,1.22099,0.71529,1.62804,0.000148385,0.000148385,0.000148385
30,156.314,0.80999,1.26962,1.24621,0.87385,0.88885,0.96045,0.67863,1.24543,0.74138,1.66184,0.000141791,0.000141791,0.000141791
31,161.489,0.79232,1.2312,1.23885,0.88622,0.90307,0.95187,0.69431,1.15331,0.69047,1.56579,0.000135198,0.000135198,0.000135198
32,166.539,0.79147,1.18868,1.22503,0.84544,0.91021,0.95277,0.64301,1.36167,0.76659,1.81433,0.000128605,0.000128605,0.000128605
33,171.722,0.77731,1.18357,1.22528,0.8825,0.91349,0.96022,0.68463,1.23422,0.72514,1.64742,0.000122011,0.000122011,0.000122011
